Crude_Blend,API_Gravity,Inlet_BSW,Inlet_Salt_PTB,Target_Risk_Class
Ural,28.88,1.22,16.59,Medium
Ural,29.86,1.625,10.32,Medium
Bonny Light,40.34,0.772,18.91,Low
Ural,30.81,1.773,13.89,Medium
Ural,36.18,0.531,16.53,High
Basrah Heavy,25.89,1.815,28.52,High
Basrah Heavy,21.56,1.608,35.69,Medium
Arab Light,38.74,0.494,10.0,Low
Bonny Light,41.69,0.502,21.32,Low
Basrah Heavy,21.79,0.937,15.72,Medium
Arab Light,31.02,1.625,39.25,Medium
Ural,32.16,0.997,24.67,Low
Basrah Heavy,22.53,1.455,22.25,High
Arab Light,36.26,0.802,10.0,Low
Bonny Light,40.25,0.553,13.15,Low
Ural,32.44,1.618,33.15,Low
Basrah Heavy,26.55,0.996,17.04,Medium
Bonny Light,42.36,0.395,11.54,Low
Basrah Heavy,24.37,1.485,21.32,Medium
Bonny Light,44.21,0.229,10.0,Low
Basrah Heavy,22.0,1.854,17.36,High
Arab Light,36.66,0.633,10.0,Low
Arab Light,35.65,0.538,13.93,Low
Basrah Heavy,26.37,1.772,32.27,Medium
Bonny Light,38.81,1.165,20.5,Low
Basrah Heavy,30.72,1.216,30.22,Low
Basrah Heavy,23.25,1.614,36.63,High
Basrah Heavy,26.07,1.429,42.48,High
Ural,34.17,0.814,36.98,Low
Ural,28.83,1.983,16.15,High
Bonny Light,43.53,0.389,17.17,Low
Basrah Heavy,21.79,0.824,12.7,Medium
Arab Light,34.08,1.492,15.63,Low
Basrah Heavy,24.78,2.2,25.66,High
Arab Light,36.24,1.04,33.89,Low
Bonny Light,41.23,0.199,21.95,Low
Ural,31.4,1.151,19.33,Medium
Arab Light,32.17,1.508,28.32,Low
Arab Light,35.98,0.981,20.91,Low
Bonny Light,40.47,0.614,12.39,Low
Arab Light,35.85,1.187,13.96,Low
Basrah Heavy,23.64,1.731,23.16,High
Arab Light,34.98,1.407,28.2,Low
Basrah Heavy,23.45,1.757,40.79,High
Basrah Heavy,20.83,1.881,29.88,High
Basrah Heavy,26.01,2.046,22.16,High
Arab Light,33.81,0.868,10.0,Low
Arab Light,35.59,0.602,17.28,Low
Basrah Heavy,25.43,1.536,10.22,High
Arab Light,38.82,0.833,49.56,Low
Bonny Light,42.18,0.639,19.28,Low
Ural,26.88,1.996,38.58,High
Arab Light,38.81,0.662,24.8,Low
Basrah Heavy,27.63,1.312,24.81,Medium
Bonny Light,40.63,0.457,16.83,Low
Basrah Heavy,23.11,1.836,32.28,Medium
Basrah Heavy,25.96,0.845,13.72,High
Bonny Light,42.58,0.44,13.29,Low
Arab Light,39.02,1.802,32.64,Low
Ural,31.81,0.665,10.0,Low
Arab Light,34.43,1.012,18.0,Low
Ural,32.88,1.207,18.65,Low
Basrah Heavy,25.11,1.856,12.28,High
Basrah Heavy,28.7,0.944,22.74,Low
Basrah Heavy,25.01,1.869,27.1,High
Basrah Heavy,28.97,1.084,18.6,Medium
Bonny Light,44.53,0.189,22.02,Low
Basrah Heavy,24.81,2.196,35.99,High
Arab Light,34.71,1.187,28.78,Medium
Ural,32.08,0.79,15.2,Low
Ural,27.82,1.142,16.02,Medium
Arab Light,31.14,0.954,19.21,Low
Arab Light,32.94,0.593,18.6,Low
Bonny Light,42.82,0.551,20.8,Low
Ural,30.76,1.578,16.31,Low
Ural,32.57,0.959,21.07,Low
Bonny Light,39.96,0.599,26.89,Low
Ural,29.21,1.345,15.2,Low
Basrah Heavy,23.75,1.788,11.57,High
Arab Light,34.37,0.6,10.0,Medium
Basrah Heavy,24.01,1.928,22.45,Medium
Ural,27.2,0.941,10.13,Medium
Bonny Light,42.73,0.542,18.84,Low
Arab Light,36.6,0.564,17.27,Low
Arab Light,33.36,0.651,10.0,Low
Basrah Heavy,22.49,1.705,34.84,High
Bonny Light,43.87,0.348,10.0,Low
Basrah Heavy,25.71,1.572,15.89,High
Basrah Heavy,24.02,1.188,22.13,High
Basrah Heavy,23.96,1.748,20.42,High
Basrah Heavy,26.79,1.605,24.79,Medium
Arab Light,32.96,1.582,21.52,Low
Arab Light,35.13,0.975,30.68,Low
Basrah Heavy,25.3,1.25,22.02,Medium
Basrah Heavy,24.59,0.991,15.63,Medium
Basrah Heavy,28.56,0.781,15.72,Medium
Arab Light,33.68,1.127,28.91,Low
Basrah Heavy,24.08,2.139,20.9,High
Ural,32.4,0.797,21.62,Medium
Basrah Heavy,25.6,1.665,23.67,Medium
Basrah Heavy,25.07,1.465,22.27,High
Arab Light,33.16,1.337,13.29,Low
Arab Light,37.7,1.014,14.91,Medium
Basrah Heavy,21.59,0.805,11.78,Medium
Basrah Heavy,21.87,2.5,30.51,High
Bonny Light,42.56,0.479,10.0,Low
Basrah Heavy,25.17,1.287,10.0,High
Arab Light,33.85,0.835,12.79,Low
Arab Light,35.32,0.911,27.45,Low
Basrah Heavy,27.65,1.167,23.77,Medium
Arab Light,36.07,0.615,13.84,Low
Ural,33.74,0.782,10.0,Low
Ural,29.04,0.905,10.0,Low
Basrah Heavy,21.99,2.5,25.11,High
Basrah Heavy,20.72,1.871,23.35,High
Basrah Heavy,26.79,2.5,21.74,High
Arab Light,32.13,1.259,23.79,Medium
Ural,34.87,1.143,22.56,Medium
Basrah Heavy,30.6,0.83,12.63,Low
Basrah Heavy,26.78,1.341,19.41,Medium
Bonny Light,38.81,0.696,13.75,Low
Basrah Heavy,21.8,1.413,24.17,Medium
Arab Light,34.98,0.784,10.0,Low
Ural,31.43,1.332,49.73,Medium
Basrah Heavy,25.94,1.751,14.53,Medium
Basrah Heavy,21.94,1.1,12.42,High
Basrah Heavy,26.52,1.617,24.51,Medium
Bonny Light,40.02,0.729,33.84,Low
Basrah Heavy,28.56,1.085,14.24,Low
Basrah Heavy,24.83,1.234,12.66,Medium
Basrah Heavy,31.06,1.37,18.49,Low
Basrah Heavy,24.65,0.644,20.62,Low
Arab Light,34.89,0.929,23.59,Low
Basrah Heavy,27.59,2.473,34.47,Medium
Arab Light,38.76,0.275,33.25,Low
Arab Light,31.78,1.504,28.4,Medium
Ural,34.51,1.153,27.69,Low
Basrah Heavy,24.88,0.949,27.24,Medium
Bonny Light,39.21,0.783,10.0,Low
Arab Light,37.12,1.116,17.23,Low
Basrah Heavy,23.73,1.088,12.43,High
Ural,34.45,0.747,10.17,Low
Bonny Light,39.03,0.67,11.89,Low
Basrah Heavy,23.24,2.357,31.75,High
Bonny Light,41.81,0.402,30.9,Low
Arab Light,33.19,1.022,23.37,Low
Arab Light,39.71,0.492,16.9,Low
Bonny Light,42.71,0.432,10.0,Low
Arab Light,31.78,1.627,40.83,Medium
Ural,34.16,1.012,10.0,Low
Basrah Heavy,22.25,1.533,28.92,High
Ural,32.16,1.091,10.0,Low
Arab Light,35.65,0.665,15.76,Low
Basrah Heavy,20.85,1.29,30.09,High
Arab Light,32.1,1.687,23.48,Medium
Basrah Heavy,27.17,2.5,42.74,High
Basrah Heavy,28.03,0.731,10.0,Medium
Basrah Heavy,23.35,2.044,10.66,High
Basrah Heavy,23.74,2.218,18.19,High
Basrah Heavy,24.29,1.051,15.45,Medium
Basrah Heavy,21.04,1.538,25.03,High
Ural,32.58,0.88,11.77,Low
Ural,33.37,1.996,27.05,Medium
Ural,32.44,1.936,30.2,Low
Basrah Heavy,20.73,1.329,13.98,Medium
Bonny Light,41.79,0.293,10.0,Low
Arab Light,38.52,0.913,10.0,Low
Basrah Heavy,26.05,1.808,37.37,Medium
Basrah Heavy,25.09,2.404,42.29,High
Ural,29.47,0.88,17.59,Low
Basrah Heavy,23.17,2.162,18.23,High
Arab Light,30.22,0.95,33.71,Low
Bonny Light,39.5,0.788,10.0,Low
Basrah Heavy,23.86,1.613,12.68,High
Basrah Heavy,23.55,2.5,23.42,High
Bonny Light,42.46,0.52,10.0,Low
Arab Light,38.32,0.636,10.0,Low
Basrah Heavy,22.61,1.799,19.2,Medium
Bonny Light,41.19,0.508,13.65,Low
Bonny Light,39.02,0.444,19.7,Low
Arab Light,33.6,1.984,23.71,Low
Arab Light,35.58,1.548,20.16,Medium
Basrah Heavy,28.52,1.256,17.49,Medium
Basrah Heavy,21.93,2.246,17.53,Medium
Arab Light,32.71,2.19,33.86,Low
Basrah Heavy,22.21,2.5,39.81,High
Ural,34.71,0.844,32.19,Low
Ural,33.47,0.989,14.32,Medium
Basrah Heavy,31.1,0.642,29.79,Low
Arab Light,29.7,1.653,30.83,Medium
Basrah Heavy,27.25,2.19,19.05,High
Bonny Light,37.79,1.151,12.75,Medium
Basrah Heavy,23.91,2.085,27.19,High
Arab Light,33.61,1.143,16.77,Low
Arab Light,35.37,0.633,10.0,Low
Arab Light,31.09,1.311,20.69,Medium
Ural,28.12,1.092,19.05,Medium
Ural,32.29,1.316,27.96,Medium
Arab Light,36.64,0.625,10.15,Low
Ural,34.7,1.128,12.74,Low
Bonny Light,39.59,0.998,10.0,Low
Arab Light,37.5,0.869,18.49,Low
Arab Light,38.54,0.78,16.66,Low
Basrah Heavy,25.06,2.144,43.65,High
Ural,32.62,1.996,32.73,Medium
Arab Light,30.47,1.167,14.7,Medium
Arab Light,33.85,1.194,19.14,Medium
Basrah Heavy,24.32,2.5,20.33,High
Bonny Light,42.23,0.581,10.81,High
Arab Light,35.19,0.451,14.13,Low
Ural,31.27,0.903,35.52,Medium
Basrah Heavy,28.28,1.758,16.64,High
Bonny Light,43.8,0.312,25.59,Low
Basrah Heavy,23.11,2.5,31.99,High
Basrah Heavy,22.13,2.5,36.57,High
Bonny Light,41.33,0.42,12.13,Low
Bonny Light,41.42,0.356,10.0,Low
Basrah Heavy,24.71,1.392,33.01,Medium
Arab Light,35.82,0.751,11.77,Low
Ural,32.99,1.798,30.27,Low
Bonny Light,41.09,0.37,10.0,Low
Arab Light,35.84,1.126,11.29,Medium
Arab Light,30.46,1.97,12.94,Medium
Ural,29.73,1.677,21.97,Medium
Ural,36.12,0.99,19.44,Low
Ural,35.5,0.841,16.11,Low
Arab Light,34.49,1.823,13.88,Medium
Basrah Heavy,29.34,1.178,11.8,Medium
Bonny Light,41.64,0.693,21.56,Low
Bonny Light,41.43,0.483,10.0,Low
Ural,27.18,0.746,15.69,Medium
Basrah Heavy,21.73,1.611,17.7,High
Basrah Heavy,27.51,1.326,25.59,Low
Ural,35.01,0.876,11.75,Low
Basrah Heavy,24.65,1.257,17.82,High
Bonny Light,43.95,0.435,22.42,Low
Arab Light,31.97,1.444,21.4,Medium
Ural,27.73,1.246,12.96,High
Bonny Light,41.33,0.463,16.53,Low
Arab Light,36.57,0.569,10.0,Low
Basrah Heavy,22.96,1.849,17.54,High
Arab Light,31.24,1.883,14.75,Medium
Arab Light,34.72,1.522,27.47,Low
Arab Light,30.98,0.956,20.12,Medium
Arab Light,31.37,2.317,32.91,Medium
Bonny Light,38.32,0.625,15.83,Low
Arab Light,38.04,0.51,25.93,Low
Basrah Heavy,28.83,0.817,17.3,Medium
Arab Light,34.18,0.668,10.32,Medium
Arab Light,35.75,0.982,11.08,Low
Basrah Heavy,22.09,1.597,23.78,High
Basrah Heavy,27.46,1.125,29.56,Medium
Ural,32.6,0.799,10.0,Low
Basrah Heavy,27.4,0.963,21.44,Medium
Bonny Light,42.14,0.341,10.0,Low
Basrah Heavy,26.93,2.052,35.08,Medium
Basrah Heavy,30.74,2.245,16.43,Medium
Ural,29.36,2.464,46.11,Medium
Bonny Light,39.12,0.837,14.17,Low
Basrah Heavy,23.02,1.421,10.0,Medium
Basrah Heavy,22.26,1.375,11.75,High
Basrah Heavy,26.61,1.9,43.92,Low
Arab Light,34.33,0.885,20.73,Low
Arab Light,36.14,0.981,14.58,Low
Basrah Heavy,28.08,2.5,51.58,High
Basrah Heavy,30.0,1.339,21.38,Medium
Arab Light,33.89,2.203,35.61,Medium
Bonny Light,38.3,0.479,10.0,Low
Ural,36.53,0.964,14.16,Low
Arab Light,34.54,1.062,18.9,Low
Basrah Heavy,29.76,0.891,12.72,Low
Basrah Heavy,26.91,1.905,42.69,High
Basrah Heavy,29.38,2.189,38.84,Medium
Ural,34.52,2.059,30.22,Low
Bonny Light,44.0,0.4,10.0,Low
Bonny Light,44.5,0.162,10.0,Low
Bonny Light,38.65,0.813,10.0,Low
Bonny Light,41.58,0.649,18.64,Low
Bonny Light,40.5,0.525,10.0,Low
Basrah Heavy,21.25,1.942,13.26,High
Basrah Heavy,22.77,1.439,23.72,High
Basrah Heavy,21.02,1.733,19.26,High
Arab Light,36.87,1.145,32.6,Low
Basrah Heavy,24.94,2.5,21.32,High
Ural,28.88,0.842,10.45,Low
Arab Light,36.85,0.672,12.06,Low
Arab Light,35.57,0.508,16.25,Low
Basrah Heavy,25.8,2.5,39.01,High
Basrah Heavy,22.78,2.31,25.28,High
Basrah Heavy,27.09,0.709,16.11,Medium
Bonny Light,41.34,0.505,10.0,Low
Arab Light,33.58,0.917,11.12,Low
Ural,31.98,0.856,12.56,Low
Basrah Heavy,24.33,2.306,25.63,High
Arab Light,35.49,1.27,25.04,Low
Arab Light,32.34,1.2,40.04,Medium
Ural,28.88,1.049,12.53,Low
Ural,31.29,0.929,21.0,Low
Basrah Heavy,26.08,1.515,33.48,High
Bonny Light,40.38,0.492,24.8,Low
Basrah Heavy,26.09,1.489,14.49,High
Bonny Light,41.75,0.596,24.8,Low
Basrah Heavy,25.27,0.903,10.0,Low
Basrah Heavy,23.94,1.249,10.86,High
Ural,36.14,0.839,16.04,Low
Basrah Heavy,21.94,2.5,26.03,High
Arab Light,36.84,1.081,33.28,Low
Arab Light,38.38,0.705,10.0,Low
Basrah Heavy,21.69,2.041,26.25,High
Ural,29.28,1.243,28.07,Low
Bonny Light,40.48,0.833,10.0,Low
Bonny Light,41.12,0.617,10.91,Low
Basrah Heavy,20.8,2.5,37.9,High
Arab Light,33.91,0.617,13.43,Low
Basrah Heavy,23.4,1.255,18.89,High
Basrah Heavy,27.63,1.534,31.31,Medium
Basrah Heavy,21.62,2.113,30.13,High
Bonny Light,42.78,0.983,11.74,Low
Bonny Light,42.19,0.245,30.57,Low
Ural,34.2,0.962,15.22,Low
Arab Light,38.58,0.674,10.0,Low
Arab Light,34.19,1.058,17.64,Low
Arab Light,35.52,1.63,21.49,Medium
Arab Light,32.17,1.499,24.72,Medium
Arab Light,38.69,0.391,16.87,Low
Basrah Heavy,24.16,2.5,19.04,High
Basrah Heavy,26.82,2.448,26.9,High
Bonny Light,44.14,0.37,15.42,Low
Arab Light,32.41,0.617,13.56,Low
Bonny Light,37.49,0.723,10.85,Low
Basrah Heavy,23.1,1.983,31.95,Medium
Arab Light,35.37,1.273,26.05,Medium
Basrah Heavy,23.69,0.885,10.0,High
Basrah Heavy,26.43,1.123,10.0,Medium
Basrah Heavy,26.14,2.186,28.6,High
Basrah Heavy,27.61,2.359,31.76,High
Bonny Light,40.96,0.628,11.8,Low
Basrah Heavy,23.24,2.5,30.43,Medium
Arab Light,32.23,1.289,17.96,Medium
Arab Light,35.35,1.26,22.34,Low
Arab Light,32.24,1.156,14.61,Low
Arab Light,32.1,1.31,16.13,Low
Basrah Heavy,23.99,1.06,16.07,Medium
Bonny Light,42.95,0.532,16.31,Low
Ural,29.95,0.803,19.86,Medium
Ural,30.54,1.554,34.9,Low
Arab Light,32.55,0.925,10.0,Low
Basrah Heavy,24.37,1.823,11.2,High
Bonny Light,40.49,0.409,18.76,Low
Basrah Heavy,23.67,1.38,20.53,High
Basrah Heavy,20.0,2.14,14.3,High
Basrah Heavy,25.63,1.981,23.61,Medium
Ural,29.0,1.914,34.25,Medium
Arab Light,34.23,0.649,10.39,Low
Ural,32.65,0.634,15.44,Low
Ural,27.36,1.003,11.97,Medium
Basrah Heavy,28.5,0.921,10.0,Medium
Bonny Light,39.28,1.121,26.05,Low
Arab Light,32.83,1.695,18.27,Medium
Arab Light,37.45,0.54,10.76,Low
Basrah Heavy,24.8,2.5,29.62,High
Bonny Light,41.21,0.821,10.39,Low
Basrah Heavy,24.84,0.888,45.58,Medium
Basrah Heavy,22.8,1.187,25.14,Medium
Arab Light,33.57,0.567,10.0,Low
Basrah Heavy,28.42,1.303,10.0,Medium
Basrah Heavy,20.36,1.87,33.07,High
Arab Light,35.51,0.894,17.95,Low
Arab Light,37.16,0.386,14.5,Low
Bonny Light,42.46,0.27,10.0,Low
Basrah Heavy,27.53,1.533,18.97,Medium
Ural,32.52,1.343,28.83,Low
Arab Light,36.98,0.392,10.0,Low
Ural,29.35,0.819,27.25,Low
Arab Light,32.44,1.553,22.43,Medium
Arab Light,34.23,0.633,10.0,Low
Bonny Light,39.23,0.648,10.0,Low
Basrah Heavy,28.61,0.838,10.71,Medium
Basrah Heavy,25.13,2.078,21.79,High
Ural,34.12,0.483,10.0,Low
Ural,28.6,1.197,22.58,Medium
Basrah Heavy,23.33,2.318,33.3,Medium
Arab Light,31.02,1.456,25.68,Medium
Bonny Light,39.91,0.517,20.81,Low
Ural,30.62,0.941,13.0,Low
Bonny Light,40.97,0.498,15.14,Low
Arab Light,38.49,0.445,20.07,Low
Ural,29.02,1.259,23.22,Medium
Basrah Heavy,26.23,1.44,22.4,High
Bonny Light,42.55,0.379,24.34,Low
Arab Light,32.29,1.554,18.74,Low
Ural,30.99,0.81,12.49,Low
Arab Light,39.2,0.36,12.14,Low
Arab Light,34.25,0.807,16.06,Low
Ural,32.41,1.136,18.56,Low
Arab Light,38.01,0.703,10.0,Low
Bonny Light,38.89,0.638,23.28,Low
Arab Light,34.42,0.646,16.42,Low
Arab Light,32.02,0.789,10.0,Low
Basrah Heavy,27.67,1.172,10.0,Medium
Arab Light,34.91,0.761,27.18,Low
Arab Light,36.94,1.172,14.27,Low
Basrah Heavy,24.82,1.725,23.25,High
Basrah Heavy,21.45,1.484,13.9,High
Ural,35.93,1.265,48.79,Medium
Ural,30.38,1.423,19.53,Medium
Ural,29.21,0.803,11.52,Low
Basrah Heavy,28.63,0.427,20.58,Low
Basrah Heavy,24.32,1.009,10.0,Medium
Basrah Heavy,25.84,1.857,33.83,High
Ural,30.58,1.646,20.63,Medium
Bonny Light,40.96,0.302,17.03,Low
Basrah Heavy,21.08,2.282,29.56,Medium
Ural,32.74,1.325,17.48,Low
Basrah Heavy,22.15,2.5,18.63,High
Basrah Heavy,21.52,2.488,30.05,Medium
Basrah Heavy,27.04,2.297,21.58,Medium
Basrah Heavy,29.07,1.544,22.02,Medium
Ural,33.45,1.197,25.93,Medium
Bonny Light,40.32,0.517,16.84,Low
Basrah Heavy,21.2,2.404,12.44,High
Arab Light,32.98,0.659,11.21,Low
Ural,29.05,1.241,14.16,Medium
Bonny Light,40.35,0.7,10.45,Low
Arab Light,38.58,1.134,19.36,Low
Basrah Heavy,25.24,1.308,15.8,High
Arab Light,36.02,1.201,12.71,Low
Basrah Heavy,29.5,1.189,10.0,Medium
Bonny Light,42.28,0.644,10.76,Low
Arab Light,38.64,0.52,19.38,Low
Ural,28.98,1.685,29.65,Medium
Basrah Heavy,20.51,1.788,25.64,High
Arab Light,37.42,0.507,10.0,Low
Bonny Light,44.43,0.302,12.02,Low
Arab Light,38.33,1.126,31.58,Medium
Arab Light,31.94,0.782,10.0,Low
Bonny Light,39.71,0.369,10.0,Medium
Bonny Light,39.0,0.766,21.6,Low
Basrah Heavy,28.96,0.727,10.0,Low
Arab Light,31.83,1.944,21.39,Medium
Arab Light,36.27,1.44,36.96,Medium
Arab Light,33.62,1.453,35.41,Low
Basrah Heavy,23.41,1.657,37.07,Medium
Basrah Heavy,29.28,2.306,24.45,Medium
Bonny Light,42.0,0.759,27.03,Low
Bonny Light,38.94,0.556,14.62,Low
Ural,36.49,1.368,13.82,Medium
Bonny Light,41.12,0.385,10.0,Low
Ural,34.34,0.9,19.41,Low
Ural,32.48,0.578,10.0,Medium
Ural,30.91,1.245,17.54,Low
Arab Light,30.32,1.102,18.43,Low
Arab Light,35.19,0.776,20.09,Low
Basrah Heavy,24.1,1.528,10.1,High
Arab Light,33.73,0.819,14.03,Low
Basrah Heavy,24.64,1.608,29.92,Medium
Basrah Heavy,23.71,2.5,48.4,High
Arab Light,33.27,0.712,10.0,Low
Arab Light,31.01,1.592,33.49,Medium
Basrah Heavy,22.83,1.833,31.15,High
Ural,30.48,1.38,33.89,Low
Bonny Light,40.56,0.56,10.0,Medium
Basrah Heavy,22.76,1.326,25.36,Medium
Basrah Heavy,23.47,1.939,35.94,Medium
Basrah Heavy,26.56,1.753,22.84,Medium
Ural,32.34,0.825,12.86,Low
Ural,32.22,0.688,14.96,Low
Basrah Heavy,27.69,1.431,30.92,Medium
Ural,27.27,1.844,17.94,High
Basrah Heavy,24.62,2.254,13.62,Medium
Arab Light,34.72,1.432,14.2,Low
Bonny Light,39.69,0.708,10.0,Low
Basrah Heavy,28.41,1.225,17.64,Medium
Basrah Heavy,30.02,1.239,10.0,Medium
Arab Light,37.99,0.473,11.34,Low
Arab Light,35.19,0.716,10.0,Low
Bonny Light,43.06,0.399,10.0,Low
Bonny Light,38.77,0.62,10.5,Medium
Basrah Heavy,25.6,1.573,22.85,High
Basrah Heavy,25.03,0.964,18.39,Medium
Ural,30.11,0.825,13.31,Low
Basrah Heavy,27.08,1.874,20.5,Medium
Bonny Light,42.45,0.333,10.0,Low
Ural,32.77,0.84,10.0,Low
Basrah Heavy,22.28,1.794,33.84,Medium
Ural,34.37,0.694,10.0,Low
Basrah Heavy,22.18,2.5,29.27,High
Arab Light,36.62,0.527,10.0,Low
Arab Light,33.1,1.044,22.76,Low
Arab Light,36.78,0.622,13.75,Low
Ural,33.96,1.044,19.74,Medium
Ural,34.06,0.825,10.0,Low
Bonny Light,41.72,0.488,15.35,Low
Bonny Light,35.34,1.38,10.0,Medium
Arab Light,29.07,1.023,12.11,Low
Basrah Heavy,23.69,1.29,47.43,High
Ural,33.79,0.895,10.0,Low
Bonny Light,40.25,0.982,16.74,Low
Basrah Heavy,24.26,1.559,32.79,High
Arab Light,32.71,1.645,26.72,Medium
Arab Light,35.98,0.808,29.65,Medium
Basrah Heavy,26.21,2.25,27.67,High
Ural,28.18,1.566,27.31,Medium
Arab Light,38.24,0.868,24.73,Low
Ural,33.08,0.632,22.64,Low
Ural,28.12,0.782,10.0,Low
Ural,32.87,1.539,15.07,Medium
Arab Light,35.09,1.326,27.14,Medium
Basrah Heavy,24.46,2.5,42.79,High
Ural,28.49,0.795,10.0,Low
Ural,34.11,1.16,12.44,Low
Arab Light,32.61,0.751,19.08,Low
Bonny Light,42.24,0.354,10.0,Low
Basrah Heavy,29.92,1.046,25.53,Low
Bonny Light,44.46,0.362,16.52,Low
Basrah Heavy,22.08,1.386,29.86,High
Basrah Heavy,25.57,1.543,18.78,High
Arab Light,33.68,1.346,15.8,Low
Basrah Heavy,24.42,2.372,22.27,High
Basrah Heavy,28.68,1.69,36.19,Medium
Basrah Heavy,30.99,1.38,11.42,Low
Arab Light,31.65,1.081,10.0,Medium
Ural,31.57,0.935,16.92,Low
Basrah Heavy,22.28,2.096,21.8,High
Ural,36.31,0.58,22.45,Medium
Ural,31.61,1.187,10.0,Low
Basrah Heavy,20.42,1.273,17.28,Medium
Basrah Heavy,23.63,1.625,10.59,High
Bonny Light,43.74,0.251,10.0,Low
Ural,34.72,0.817,15.72,Low
Arab Light,37.97,0.578,12.38,Low
Ural,36.4,0.63,12.33,Low
Basrah Heavy,25.42,1.488,26.24,High
Arab Light,34.01,0.422,10.0,Low
Ural,33.55,0.54,15.55,Low
Basrah Heavy,23.29,2.213,25.29,Medium
Ural,30.62,1.266,16.18,Low
Arab Light,34.12,0.759,18.47,Low
Ural,29.53,1.788,24.55,Medium
Arab Light,35.08,0.733,17.82,Medium
Arab Light,33.18,0.848,35.89,Low
Basrah Heavy,24.22,1.225,17.04,High
Basrah Heavy,24.04,2.5,19.61,High
Ural,30.33,1.325,12.83,Medium
Basrah Heavy,27.84,1.478,34.44,Medium
Basrah Heavy,22.34,2.039,22.26,High
Basrah Heavy,23.26,0.875,21.03,Medium
Basrah Heavy,24.08,1.316,18.65,Medium
Ural,36.13,0.996,10.0,Low
Arab Light,32.14,1.103,18.7,Low
Bonny Light,38.6,1.496,15.57,Medium
Basrah Heavy,25.3,1.279,14.57,Medium
Ural,29.33,1.787,22.62,Medium
Arab Light,35.59,1.172,10.0,Low
Arab Light,32.89,1.111,22.8,Low
Bonny Light,39.66,0.699,10.49,Low
Bonny Light,41.52,0.456,18.58,Low
Bonny Light,41.75,0.246,16.28,Low
Basrah Heavy,28.44,1.516,19.19,Medium
Basrah Heavy,24.84,1.826,24.23,High
Ural,30.76,1.464,23.57,Low
Basrah Heavy,23.75,1.678,19.27,High
Ural,33.4,1.438,10.0,Low
Arab Light,38.56,0.513,13.52,Medium
Arab Light,34.05,1.643,30.98,Low
Ural,29.32,0.909,10.64,High
Ural,30.73,1.151,10.0,Medium
Basrah Heavy,22.9,2.152,33.28,High
Basrah Heavy,25.31,1.287,10.96,Medium
Arab Light,35.66,1.143,15.6,Low
Arab Light,33.74,0.889,14.5,Low
Basrah Heavy,23.53,1.725,22.27,High
Arab Light,33.82,0.936,10.04,Low
Ural,30.89,0.968,10.0,Low
Ural,35.71,1.927,22.36,Low
Arab Light,36.04,0.637,17.68,Low
Arab Light,32.97,0.472,10.0,Low
Basrah Heavy,23.05,1.273,17.54,High
Arab Light,36.49,0.865,36.01,Low
Basrah Heavy,23.0,1.481,22.49,High
Arab Light,34.18,1.392,17.91,Medium
Ural,36.08,1.203,17.62,Low
Basrah Heavy,22.4,1.545,37.59,High
Basrah Heavy,22.88,0.942,20.64,High
Basrah Heavy,23.38,1.063,12.1,High
Bonny Light,43.9,0.349,16.33,Low
Arab Light,34.72,0.543,10.0,Low
Basrah Heavy,23.5,1.457,20.9,High
Bonny Light,40.67,0.919,27.1,Low
Arab Light,34.0,1.111,18.06,Low
Arab Light,35.07,0.932,10.0,Low
Bonny Light,39.95,0.42,11.34,Low
Basrah Heavy,21.5,1.902,34.85,High
Basrah Heavy,27.67,1.27,13.35,Low
Arab Light,35.09,0.996,21.81,Low
Basrah Heavy,25.11,2.005,36.3,Medium
Ural,34.05,1.345,22.38,Medium
Basrah Heavy,21.65,1.858,23.87,High
Basrah Heavy,22.57,2.054,20.15,High
Basrah Heavy,22.53,1.437,15.91,High
Arab Light,36.9,1.19,16.16,Medium
Basrah Heavy,33.18,0.761,20.05,Low
Basrah Heavy,23.47,1.543,44.32,Medium
Bonny Light,39.18,1.009,11.32,Low
Basrah Heavy,25.65,1.284,23.19,Medium
Arab Light,32.15,0.691,22.8,Low
Basrah Heavy,21.31,1.557,21.25,High
Arab Light,30.98,1.919,23.93,Medium
Basrah Heavy,24.13,0.73,10.0,Medium
Arab Light,35.97,0.891,16.82,Medium
Basrah Heavy,29.32,1.029,16.15,Low
Bonny Light,42.72,0.404,10.0,Low
Bonny Light,45.0,0.25,12.44,Low
Basrah Heavy,24.37,2.242,19.95,High
Basrah Heavy,28.85,1.34,13.82,Medium
Basrah Heavy,22.23,2.476,30.22,High
Arab Light,31.51,1.795,36.86,Medium
Basrah Heavy,24.24,1.627,20.34,High
Bonny Light,41.74,0.433,11.66,Low
Ural,28.29,1.542,20.89,Low
Ural,34.88,1.135,10.99,Low
Arab Light,37.65,0.502,10.03,Low
Bonny Light,36.21,0.917,16.84,Low
Basrah Heavy,25.27,1.413,20.87,High
Arab Light,30.61,1.038,20.08,Low
Basrah Heavy,23.6,1.296,12.02,Medium
Bonny Light,43.23,0.318,10.0,Low
Arab Light,35.49,1.382,10.0,High
Ural,26.66,1.281,30.93,Low
Basrah Heavy,24.46,2.382,24.67,High
Bonny Light,36.41,0.871,17.24,Low
Arab Light,34.84,0.627,12.95,Low
Arab Light,38.68,0.734,10.0,Low
Bonny Light,41.41,0.338,10.0,Medium
